ene, dsp, sxy, tpi,, emt, fit^2, , , poly^2, , , fit^3, , , , poly^3, , , , 
155,0.1,5,0.001,3,0.015,1.17E+01,6.15E-04,5.00E-07,5.00E-07,6.15E-04,1.17E+01,1.18E+01,3.43E-04,8.41E-07,-1.14E-10,1.14E-10,8.41E-07,3.43E-04,1.18E+01,
155,0.1,5,0.001,3.14,0.0157,1.23E+01,-4.02E-04,9.91E-07,9.91E-07,-4.02E-04,1.23E+01,1.21E+01,6.24E-04,-2.94E-07,4.28E-10,4.28E-10,-2.94E-07,6.24E-04,1.21E+01,
155,0.1,5,0.01,2.5,0.125,1.24E+01,-3.44E-04,7.62E-07,7.62E-07,-3.44E-04,1.24E+01,1.24E+01,-6.12E-04,1.10E-06,-1.12E-10,1.12E-10,1.10E-06,-6.12E-04,1.24E+01,
155,0.1,5,0.01,3,0.15,1.26E+01,-9.54E-04,1.27E-06,1.27E-06,-9.54E-04,1.26E+01,1.26E+01,-1.33E-03,1.74E-06,-1.58E-10,1.58E-10,1.74E-06,-1.33E-03,1.26E+01,
155,0.1,5,0.01,3.14,0.157,1.19E+01,-2.82E-04,9.73E-07,9.73E-07,-2.82E-04,1.19E+01,1.18E+01,1.58E-04,4.23E-07,1.84E-10,1.84E-10,4.23E-07,1.58E-04,1.18E+01,
155,0.1,5,0.1,2.5,1.25,1.23E+01,-1.55E-03,1.53E-06,1.53E-06,-1.55E-03,1.23E+01,1.22E+01,-9.16E-04,7.36E-07,2.66E-10,2.66E-10,7.36E-07,-9.16E-04,1.22E+01,
155,0.1,5,0.1,3,1.5,1.27E+01,-3.69E-04,6.83E-07,6.83E-07,-3.69E-04,1.27E+01,1.30E+01,-2.06E-03,2.80E-06,-7.08E-10,7.08E-10,2.80E-06,-2.06E-03,1.30E+01,
155,0.1,5,0.1,3.14,1.57,1.26E+01,-1.04E-03,1.03E-06,1.03E-06,-1.04E-03,1.26E+01,1.23E+01,4.72E-04,-8.71E-07,6.33E-10,6.33E-10,-8.71E-07,4.72E-04,1.23E+01,
155,1,3,0.001,2.5,0.0075,8.08E+00,-1.01E-03,1.48E-06,1.48E-06,-1.01E-03,8.08E+00,8.03E+00,-6.86E-04,1.08E-06,1.34E-10,1.34E-10,1.08E-06,-6.86E-04,8.03E+00,
155,1,3,0.001,3,0.009,7.49E+00,-8.42E-04,1.56E-06,1.56E-06,-8.42E-04,7.49E+00,7.43E+00,-4.75E-04,1.10E-06,1.53E-10,1.53E-10,1.10E-06,-4.75E-04,7.43E+00,
155,1,3,0.001,3.14,0.00942,7.85E+00,-9.28E-04,1.41E-06,1.41E-06,-9.28E-04,7.85E+00,7.61E+00,5.12E-04,-3.97E-07,6.02E-10,6.02E-10,-3.97E-07,5.12E-04,7.61E+00,
155,1,3,0.01,2.5,0.075,7.55E+00,-1.07E-03,1.63E-06,1.63E-06,-1.07E-03,7.55E+00,7.52E+00,-9.00E-04,1.42E-06,7.08E-11,7.08E-11,1.42E-06,-9.00E-04,7.52E+00,
155,1,3,0.01,3,0.09,7.77E+00,-8.47E-04,1.28E-06,1.28E-06,-8.47E-04,7.77E+00,7.51E+00,6.88E-04,-6.41E-07,6.41E-10,6.41E-10,-6.41E-07,6.88E-04,7.51E+00,
155,1,3,0.01,3.14,0.0942,7.68E+00,-1.40E-03,1.60E-06,1.60E-06,-1.40E-03,7.68E+00,7.58E+00,-7.91E-04,8.46E-07,2.53E-10,2.53E-10,8.46E-07,-7.91E-04,7.58E+00,
155,1,3,0.1,2.5,0.75,7.10E+00,-1.26E-03,1.60E-06,1.60E-06,-1.26E-03,7.10E+00,6.83E+00,4.00E-04,-4.72E-07,6.92E-10,6.92E-10,-4.72E-07,4.00E-04,6.83E+00,
